Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Brazil,nuclear,2000,0.050464911,0.050464911,1980.851,175090,48.40979407,4.279004752,0
Brazil,renewables_n_other,2000,3.346126086,3.393811177,1980.851,175090,48.40979407,4.279004752,0
British Virgin Islands,all_energy_types,2000,0.001492735,0,1.24535,20.313,73.48667506,1.198646831,0.06036
British Virgin Islands,coal,2000,0,0,1.24535,20.313,73.48667506,1.198646831,0
British Virgin Islands,natural_gas,2000,0,0,1.24535,20.313,73.48667506,1.198646831,0
British Virgin Islands,petroleum_n_other_liquids,2000,0.001492735,0,1.24535,20.313,73.48667506,1.198646831,0.06036
British Virgin Islands,nuclear,2000,,,1.24535,20.313,73.48667506,1.198646831,0
British Virgin Islands,renewables_n_other,2000,0,0,1.24535,20.313,73.48667506,1.198646831,0
Brunei,all_energy_types,2000,0.067095783,0.816251017,22.7777,333.166,201.3884447,2.945678561,3.6402303
Brunei,coal,2000,0,0,22.7777,333.166,201.3884447,2.945678561,0
Brunei,natural_gas,2000,0.040672286,0.365680821,22.7777,333.166,201.3884447,2.945678561,2.0402303
Brunei,petroleum_n_other_liquids,2000,0.026423497,0.450570195,22.7777,333.166,201.3884447,2.945678561,1.6
Brunei,nuclear,2000,,,22.7777,333.166,201.3884447,2.945678561,0
Brunei,renewables_n_other,2000,0,0,22.7777,333.166,201.3884447,2.945678561,0
Bulgaria,all_energy_types,2000,0.75608389,0.404245787,78.8745,8164.995,92.6006556,9.585910401,43.34901442
Bulgaria,coal,2000,0.251707106,0.184513657,78.8745,8164.995,92.6006556,9.585910401,24.05360135
Bulgaria,natural_gas,2000,0.113373157,0.000693587,78.8745,8164.995,92.6006556,9.585910401,6.295413069
Bulgaria,petroleum_n_other_liquids,2000,0.184474286,0.001831068,78.8745,8164.995,92.6006556,9.585910401,13
Bulgaria,nuclear,2000,0.190062614,0.190062614,78.8745,8164.995,92.6006556,9.585910401,0
Bulgaria,renewables_n_other,2000,0.016466727,0.027144861,78.8745,8164.995,92.6006556,9.585910401,0
Burkina Faso,all_energy_types,2000,0.014532701,0.000989497,13.3966,11608,1.251955638,1.084805178,1.1
Burkina Faso,coal,2000,0,0,13.3966,11608,1.251955638,1.084805178,0
Burkina Faso,natural_gas,2000,0,0,13.3966,11608,1.251955638,1.084805178,0
Burkina Faso,petroleum_n_other_liquids,2000,0.013543204,0,13.3966,11608,1.251955638,1.084805178,1.1
Burkina Faso,nuclear,2000,,,13.3966,11608,1.251955638,1.084805178,0
Burkina Faso,renewables_n_other,2000,0.000989497,0.000989497,13.3966,11608,1.251955638,1.084805178,0
Burma,all_energy_types,2000,0.163950214,0.165894955,55.5942,46719.7,3.509230887,2.949052496,8.68179232
Burma,coal,2000,0.004541913,0.012281902,55.5942,46719.7,3.509230887,2.949052496,0.351404768
Burma,natural_gas,2000,0.058723195,0.10765919,55.5942,46719.7,3.509230887,2.949052496,2.730387552
Burma,petroleum_n_other_liquids,2000,0.081556058,0.02684739,55.5942,46719.7,3.509230887,2.949052496,5.6
Burma,nuclear,2000,,,55.5942,46719.7,3.509230887,2.949052496,0
Burma,renewables_n_other,2000,0.019129048,0.019106473,55.5942,46719.7,3.509230887,2.949052496,0
Burundi,all_energy_types,2000,0.005638039,0.000999698,5.14591,6378.87,0.883861759,1.095635031,0.4
Burundi,coal,2000,0,0,5.14591,6378.87,0.883861759,1.095635031,0
Burundi,natural_gas,2000,0,0,5.14591,6378.87,0.883861759,1.095635031,0
Burundi,petroleum_n_other_liquids,2000,0.004535981,0,5.14591,6378.87,0.883861759,1.095635031,0.4
